date,O+,A+,B+,AB+,O-,A-,B-,AB-
2023-02-27,19,18,5,2,1,1,0,0
2023-02-28,24,22,6,2,1,1,0,0
2023-03-01,11,10,3,1,0,0,0,0
2023-03-02,21,20,5,2,1,1,0,0
2023-03-03,20,19,5,2,1,1,0,0
2023-03-04,13,12,3,1,0,0,0,0
2023-03-05,17,15,4,1,0,0,0,0
2023-03-06,18,17,5,2,1,1,0,0
2023-03-07,17,15,4,1,0,0,0,0
2023-03-08,15,14,4,1,0,0,0,0
2023-03-09,19,18,5,2,1,1,0,0
2023-03-10,18,17,5,2,1,1,0,0
2023-03-11,17,16,4,1,0,0,0,0
2023-03-12,11,10,3,1,0,0,0,0
2023-03-13,19,18,5,2,1,1,0,0
2023-03-14,11,10,3,1,0,0,0,0
2023-03-15,16,14,4,1,0,0,0,0
2023-03-16,18,16,4,1,0,0,0,0
2023-03-17,19,18,5,2,1,1,0,0
2023-03-18,16,14,4,1,0,0,0,0
2023-03-19,12,11,3,1,0,0,0,0
2023-03-20,13,12,3,1,0,0,0,0
2023-03-21,12,11,3,1,0,0,0,0
2023-03-22,13,12,3,1,0,0,0,0
2023-03-23,21,20,5,2,1,1,0,0
2023-03-24,16,15,4,1,0,0,0,0
2023-03-25,13,12,3,1,0,0,0,0
2023-03-26,18,17,5,2,1,1,0,0
2023-03-27,21,20,5,2,1,1,0,0
2023-03-28,17,16,4,1,0,0,0,0
2023-03-29,15,14,4,1,0,0,0,0
2023-03-30,18,16,4,1,0,0,0,0
2023-03-31,24,22,6,2,1,1,0,0
2023-04-01,11,10,3,1,0,0,0,0
2023-04-02,18,16,4,1,0,0,0,0
2023-04-03,18,16,4,1,0,0,0,0
2023-04-04,17,15,4,1,0,0,0,0
2023-04-05,20,19,5,2,1,1,0,0
2023-04-06,19,17,5,2,1,1,0,0
2023-04-07,21,19,5,2,1,1,0,0
2023-04-08,12,11,3,1,0,0,0,0
2023-04-09,15,14,4,1,0,0,0,0
2023-04-10,16,15,4,1,0,0,0,0
2023-04-11,12,11,3,1,0,0,0,0
2023-04-12,16,14,4,1,0,0,0,0
2023-04-13,17,15,4,1,0,0,0,0
2023-04-14,18,17,5,2,1,1,0,0
2023-04-15,13,12,3,1,0,0,0,0
2023-04-16,15,14,4,1,0,0,0,0
2023-04-17,11,10,3,1,0,0,0,0
2023-04-18,13,12,3,1,0,0,0,0
2023-04-19,25,23,6,2,1,1,0,0
2023-04-20,12,11,3,1,0,0,0,0
2023-04-21,21,19,5,2,1,1,0,0
2023-04-22,8,7,2,0,0,0,0,0
2023-04-23,20,18,5,2,1,1,0,0
2023-04-24,19,18,5,2,1,1,0,0
2023-04-25,13,12,3,1,0,0,0,0
2023-04-26,11,10,3,1,0,0,0,0
2023-04-27,15,13,4,1,0,0,0,0
2023-04-28,16,14,4,1,0,0,0,0
2023-04-29,12,11,3,1,0,0,0,0
2023-04-30,9,8,2,1,0,0,0,0
2023-05-01,24,22,6,2,1,1,0,0
2023-05-02,17,15,4,1,0,0,0,0
2023-05-03,11,10,3,1,0,0,0,0
2023-05-04,11,10,3,1,0,0,0,0
2023-05-05,16,15,4,1,0,0,0,0
2023-05-06,12,11,3,1,0,0,0,0
2023-05-07,19,17,5,2,1,1,0,0
2023-05-08,21,19,5,2,1,1,0,0
2023-05-09,16,14,4,1,0,0,0,0
2023-05-10,16,15,4,1,0,0,0,0
2023-05-11,16,15,4,1,0,0,0,0
2023-05-12,12,11,3,1,0,0,0,0
2023-05-13,11,10,3,1,0,0,0,0
2023-05-14,14,13,4,1,0,0,0,0
2023-05-15,17,16,4,1,0,0,0,0
2023-05-16,15,14,4,1,0,0,0,0
2023-05-17,21,19,5,2,1,1,0,0
2023-05-18,17,15,4,1,0,0,0,0
2023-05-19,20,18,5,2,1,1,0,0
2023-05-20,12,11,3,1,0,0,0,0
2023-05-21,17,16,4,1,0,0,0,0
2023-05-22,18,16,4,1,0,0,0,0
2023-05-23,20,19,5,2,1,1,0,0
2023-05-24,13,12,3,1,0,0,0,0
2023-05-25,18,17,5,2,1,1,0,0
2023-05-26,24,22,6,2,1,1,0,0
2023-05-27,18,17,5,2,1,1,0,0
2023-05-28,18,17,5,2,1,1,0,0
2023-05-29,14,13,3,1,0,0,0,0
2023-05-30,18,17,5,2,1,1,0,0
2023-05-31,18,16,4,1,0,0,0,0
2023-06-01,16,15,4,1,0,0,0,0
2023-06-02,18,16,4,1,0,0,0,0
2023-06-03,13,12,3,1,0,0,0,0
2023-06-04,9,8,2,1,0,0,0,0
2023-06-05,18,17,5,2,1,1,0,0
2023-06-06,13,12,3,1,0,0,0,0
2023-06-07,15,14,4,1,0,0,0,0
2023-06-08,15,14,4,1,0,0,0,0
2023-06-09,12,11,3,1,0,0,0,0
2023-06-10,14,13,4,1,0,0,0,0
2023-06-11,21,20,5,2,1,1,0,0
2023-06-12,11,10,3,1,0,0,0,0
2023-06-13,16,14,4,1,0,0,0,0
2023-06-14,17,15,4,1,0,0,0,0
2023-06-15,11,10,3,1,0,0,0,0
2023-06-16,21,20,5,2,1,1,0,0
2023-06-17,19,17,5,2,1,1,0,0
2023-06-18,12,11,3,1,0,0,0,0
2023-06-19,11,10,3,1,0,0,0,0
2023-06-20,16,14,4,1,0,0,0,0
2023-06-21,14,13,3,1,0,0,0,0
2023-06-22,19,18,5,2,1,1,0,0
2023-06-23,11,10,3,1,0,0,0,0
2023-06-24,16,14,4,1,0,0,0,0
2023-06-25,18,16,4,1,0,0,0,0
2023-06-26,13,12,3,1,0,0,0,0
2023-06-27,27,24,7,2,1,1,0,0
2023-06-28,12,11,3,1,0,0,0,0
2023-06-29,20,18,5,2,1,1,0,0
2023-06-30,19,18,5,2,1,1,0,0
2023-07-01,17,15,4,1,0,0,0,0
2023-07-02,10,9,2,1,0,0,0,0
2023-07-03,12,11,3,1,0,0,0,0
2023-07-04,14,13,4,1,0,0,0,0
2023-07-05,15,14,4,1,0,0,0,0
2023-07-06,21,19,5,2,1,1,0,0
2023-07-07,15,14,4,1,0,0,0,0
2023-07-08,19,17,5,2,1,1,0,0
2023-07-09,15,14,4,1,0,0,0,0
2023-07-10,15,13,4,1,0,0,0,0
2023-07-11,19,18,5,2,1,1,0,0
2023-07-12,14,13,3,1,0,0,0,0
2023-07-13,16,14,4,1,0,0,0,0
2023-07-14,22,21,6,2,1,1,0,0
2023-07-15,17,16,4,1,0,0,0,0
2023-07-16,15,14,4,1,0,0,0,0
2023-07-17,15,14,4,1,0,0,0,0
2023-07-18,15,14,4,1,0,0,0,0
2023-07-19,11,10,3,1,0,0,0,0
2023-07-20,14,13,4,1,0,0,0,0
2023-07-21,14,13,3,1,0,0,0,0
2023-07-22,8,7,2,0,0,0,0,0
2023-07-23,18,17,5,2,1,1,0,0
2023-07-24,20,19,5,2,1,1,0,0
2023-07-25,14,12,3,1,0,0,0,0
2023-07-26,17,15,4,1,0,0,0,0
2023-07-27,14,13,4,1,0,0,0,0
2023-07-28,18,16,4,1,0,0,0,0
2023-07-29,17,15,4,1,0,0,0,0
2023-07-30,17,16,4,1,0,0,0,0
2023-07-31,18,17,5,2,1,1,0,0
2023-08-01,22,21,6,2,1,1,0,0
2023-08-02,17,16,4,1,0,0,0,0
2023-08-03,21,20,5,2,1,1,0,0
2023-08-04,15,14,4,1,0,0,0,0
2023-08-05,14,12,3,1,0,0,0,0
2023-08-06,9,8,2,1,0,0,0,0
2023-08-07,18,17,5,2,1,1,0,0
2023-08-08,18,16,4,1,0,0,0,0
2023-08-09,11,10,3,1,0,0,0,0
2023-08-10,12,11,3,1,0,0,0,0
2023-08-11,15,14,4,1,0,0,0,0
2023-08-12,12,11,3,1,0,0,0,0
2023-08-13,12,11,3,1,0,0,0,0
2023-08-14,21,19,5,2,1,1,0,0
2023-08-15,15,14,4,1,0,0,0,0
2023-08-16,18,16,4,1,0,0,0,0
2023-08-17,15,14,4,1,0,0,0,0
2023-08-18,17,16,4,1,0,0,0,0
2023-08-19,9,8,2,1,0,0,0,0
2023-08-20,18,17,5,2,1,1,0,0
2023-08-21,24,22,6,2,1,1,0,0
2023-08-22,22,20,6,2,1,1,0,0
2023-08-23,15,14,4,1,0,0,0,0
2023-08-24,16,15,4,1,0,0,0,0
2023-08-25,20,19,5,2,1,1,0,0
2023-08-26,14,13,4,1,0,0,0,0
2023-08-27,11,10,3,1,0,0,0,0
2023-08-28,15,13,4,1,0,0,0,0
2023-08-29,13,12,3,1,0,0,0,0
2023-08-30,15,13,4,1,0,0,0,0
2023-08-31,18,17,5,2,1,1,0,0
2023-09-01,20,19,5,2,1,1,0,0
2023-09-02,17,15,4,1,0,0,0,0
2023-09-03,16,14,4,1,0,0,0,0
2023-09-04,21,19,5,2,1,1,0,0
2023-09-05,20,18,5,2,1,1,0,0
2023-09-06,22,21,6,2,1,1,0,0
2023-09-07,25,23,6,2,1,1,0,0
2023-09-08,15,14,4,1,0,0,0,0
2023-09-09,13,12,3,1,0,0,0,0
2023-09-10,8,7,2,0,0,0,0,0
2023-09-11,16,14,4,1,0,0,0,0
2023-09-12,16,14,4,1,0,0,0,0
2023-09-13,11,10,3,1,0,0,0,0
2023-09-14,18,16,4,1,0,0,0,0
2023-09-15,11,10,3,1,0,0,0,0
2023-09-16,8,7,2,0,0,0,0,0
2023-09-17,15,14,4,1,0,0,0,0
2023-09-18,14,12,3,1,0,0,0,0
2023-09-19,21,19,5,2,1,1,0,0
2023-09-20,17,15,4,1,0,0,0,0
2023-09-21,18,16,4,1,0,0,0,0
2023-09-22,19,17,5,2,1,1,0,0
2023-09-23,12,11,3,1,0,0,0,0
2023-09-24,9,8,2,1,0,0,0,0
2023-09-25,15,14,4,1,0,0,0,0
2023-09-26,17,15,4,1,0,0,0,0
2023-09-27,22,20,6,2,1,1,0,0
2023-09-28,20,19,5,2,1,1,0,0
2023-09-29,21,19,5,2,1,1,0,0
2023-09-30,17,16,4,1,0,0,0,0
2023-10-01,11,10,3,1,0,0,0,0
2023-10-02,12,11,3,1,0,0,0,0
2023-10-03,11,10,3,1,0,0,0,0
2023-10-04,15,13,4,1,0,0,0,0
2023-10-05,20,18,5,2,1,1,0,0
2023-10-06,12,11,3,1,0,0,0,0
2023-10-07,16,14,4,1,0,0,0,0
2023-10-08,19,18,5,2,1,1,0,0
2023-10-09,19,18,5,2,1,1,0,0
2023-10-10,18,17,5,2,1,1,0,0
2023-10-11,19,18,5,2,1,1,0,0
2023-10-12,19,18,5,2,1,1,0,0
2023-10-13,19,18,5,2,1,1,0,0
2023-10-14,11,10,3,1,0,0,0,0
2023-10-15,16,15,4,1,0,0,0,0
2023-10-16,17,16,4,1,0,0,0,0
2023-10-17,18,17,5,2,1,1,0,0
2023-10-18,15,14,4,1,0,0,0,0
2023-10-19,21,19,5,2,1,1,0,0
2023-10-20,24,22,6,2,1,1,0,0
2023-10-21,15,14,4,1,0,0,0,0
2023-10-22,8,7,2,0,0,0,0,0
2023-10-23,14,13,4,1,0,0,0,0
2023-10-24,14,12,3,1,0,0,0,0
2023-10-25,17,15,4,1,0,0,0,0
2023-10-26,17,16,4,1,0,0,0,0
2023-10-27,21,19,5,2,1,1,0,0
2023-10-28,15,14,4,1,0,0,0,0
2023-10-29,14,13,4,1,0,0,0,0
2023-10-30,18,17,5,2,1,1,0,0
2023-10-31,11,10,3,1,0,0,0,0
2023-11-01,22,21,6,2,1,1,0,0
2023-11-02,18,17,5,2,1,1,0,0
2023-11-03,12,11,3,1,0,0,0,0
2023-11-04,13,12,3,1,0,0,0,0
2023-11-05,10,9,2,1,0,0,0,0
2023-11-06,16,14,4,1,0,0,0,0
2023-11-07,21,19,5,2,1,1,0,0
2023-11-08,14,13,3,1,0,0,0,0
2023-11-09,12,11,3,1,0,0,0,0
2023-11-10,21,20,5,2,1,1,0,0
2023-11-11,14,12,3,1,0,0,0,0
2023-11-12,16,15,4,1,0,0,0,0
2023-11-13,11,10,3,1,0,0,0,0
2023-11-14,19,18,5,2,1,1,0,0
2023-11-15,16,14,4,1,0,0,0,0
2023-11-16,21,20,5,2,1,1,0,0
2023-11-17,17,16,4,1,0,0,0,0
2023-11-18,16,15,4,1,0,0,0,0
2023-11-19,14,12,3,1,0,0,0,0
2023-11-20,17,16,4,1,0,0,0,0
2023-11-21,11,10,3,1,0,0,0,0
2023-11-22,22,20,6,2,1,1,0,0
2023-11-23,15,14,4,1,0,0,0,0
2023-11-24,20,19,5,2,1,1,0,0
2023-11-25,8,8,2,0,0,0,0,0
2023-11-26,12,11,3,1,0,0,0,0
2023-11-27,21,19,5,2,1,1,0,0
2023-11-28,11,10,3,1,0,0,0,0
2023-11-29,16,14,4,1,0,0,0,0
2023-11-30,21,19,5,2,1,1,0,0
2023-12-01,18,17,5,2,1,1,0,0
2023-12-02,15,13,4,1,0,0,0,0
2023-12-03,13,12,3,1,0,0,0,0
2023-12-04,13,12,3,1,0,0,0,0
2023-12-05,15,13,4,1,0,0,0,0
2023-12-06,20,19,5,2,1,1,0,0
2023-12-07,14,13,3,1,0,0,0,0
2023-12-08,16,14,4,1,0,0,0,0
2023-12-09,16,14,4,1,0,0,0,0
2023-12-10,9,8,2,1,0,0,0,0
2023-12-11,19,17,5,2,1,1,0,0
2023-12-12,15,14,4,1,0,0,0,0
2023-12-13,18,16,4,1,0,0,0,0
2023-12-14,16,14,4,1,0,0,0,0
2023-12-15,21,19,5,2,1,1,0,0
2023-12-16,15,14,4,1,0,0,0,0
2023-12-17,8,7,2,0,0,0,0,0
2023-12-18,18,16,4,1,0,0,0,0
2023-12-19,18,17,5,2,1,1,0,0
2023-12-20,18,16,4,1,0,0,0,0
2023-12-21,23,21,6,2,1,1,0,0
2023-12-22,14,13,3,1,0,0,0,0
2023-12-23,16,15,4,1,0,0,0,0
2023-12-24,19,18,5,2,1,1,0,0
2023-12-25,12,11,3,1,0,0,0,0
2023-12-26,21,20,5,2,1,1,0,0
2023-12-27,18,17,5,2,1,1,0,0
2023-12-28,11,10,3,1,0,0,0,0
2023-12-29,17,15,4,1,0,0,0,0
2023-12-30,18,17,5,2,1,1,0,0
2023-12-31,18,16,4,1,0,0,0,0
2024-01-01,18,16,4,1,0,0,0,0
2024-01-02,15,14,4,1,0,0,0,0
2024-01-03,12,11,3,1,0,0,0,0
2024-01-04,22,20,6,2,1,1,0,0
2024-01-05,16,14,4,1,0,0,0,0
2024-01-06,13,12,3,1,0,0,0,0
2024-01-07,9,8,2,1,0,0,0,0
2024-01-08,25,23,6,2,1,1,0,0
2024-01-09,18,16,4,1,0,0,0,0
2024-01-10,17,16,4,1,0,0,0,0
2024-01-11,21,19,5,2,1,1,0,0
2024-01-12,18,16,4,1,0,0,0,0
2024-01-13,15,14,4,1,0,0,0,0
2024-01-14,9,9,2,1,0,0,0,0
2024-01-15,12,11,3,1,0,0,0,0
2024-01-16,21,19,5,2,1,1,0,0
2024-01-17,15,13,4,1,0,0,0,0
2024-01-18,14,12,3,1,0,0,0,0
2024-01-19,11,10,3,1,0,0,0,0
2024-01-20,16,15,4,1,0,0,0,0
2024-01-21,19,18,5,2,1,1,0,0
2024-01-22,12,11,3,1,0,0,0,0
2024-01-23,17,15,4,1,0,0,0,0
2024-01-24,17,16,4,1,0,0,0,0
2024-01-25,12,11,3,1,0,0,0,0
2024-01-26,20,18,5,2,1,1,0,0
2024-01-27,18,17,5,2,1,1,0,0
2024-01-28,9,9,2,1,0,0,0,0
2024-01-29,20,19,5,2,1,1,0,0
2024-01-30,22,20,6,2,1,1,0,0
2024-01-31,22,21,6,2,1,1,0,0
2024-02-01,23,21,6,2,1,1,0,0
2024-02-02,17,15,4,1,0,0,0,0
2024-02-03,13,12,3,1,0,0,0,0
2024-02-04,15,14,4,1,0,0,0,0
2024-02-05,18,17,5,2,1,1,0,0
2024-02-06,15,14,4,1,0,0,0,0
2024-02-07,18,16,4,1,0,0,0,0
2024-02-08,14,13,3,1,0,0,0,0
2024-02-09,13,12,3,1,0,0,0,0
2024-02-10,11,10,3,1,0,0,0,0
2024-02-11,15,14,4,1,0,0,0,0
2024-02-12,13,12,3,1,0,0,0,0
2024-02-13,21,19,5,2,1,1,0,0
2024-02-14,18,17,5,2,1,1,0,0
2024-02-15,14,13,3,1,0,0,0,0
2024-02-16,24,22,6,2,1,1,0,0
2024-02-17,18,17,5,2,1,1,0,0
2024-02-18,14,12,3,1,0,0,0,0
2024-02-19,21,19,5,2,1,1,0,0
2024-02-20,15,14,4,1,0,0,0,0
2024-02-21,19,17,5,2,1,1,0,0
2024-02-22,16,15,4,1,0,0,0,0
2024-02-23,11,10,3,1,0,0,0,0
2024-02-24,16,14,4,1,0,0,0,0
2024-02-25,19,17,5,2,1,1,0,0
2024-02-26,15,14,4,1,0,0,0,0
2024-02-27,20,18,5,2,1,1,0,0
2024-02-28,11,10,3,1,0,0,0,0
2024-02-29,14,12,3,1,0,0,0,0
2024-03-01,19,18,5,2,1,1,0,0
2024-03-02,14,13,3,1,0,0,0,0
2024-03-03,10,9,2,1,0,0,0,0
2024-03-04,24,22,6,2,1,1,0,0
2024-03-05,17,15,4,1,0,0,0,0
2024-03-06,16,14,4,1,0,0,0,0
2024-03-07,18,17,5,2,1,1,0,0
2024-03-08,16,15,4,1,0,0,0,0
2024-03-09,17,15,4,1,0,0,0,0
2024-03-10,14,12,3,1,0,0,0,0
2024-03-11,17,16,4,1,0,0,0,0
2024-03-12,15,13,4,1,0,0,0,0
2024-03-13,19,17,5,2,1,1,0,0
2024-03-14,14,13,4,1,0,0,0,0
2024-03-15,21,19,5,2,1,1,0,0
2024-03-16,9,8,2,1,0,0,0,0
2024-03-17,23,21,6,2,1,1,0,0
2024-03-18,16,14,4,1,0,0,0,0
2024-03-19,13,12,3,1,0,0,0,0
2024-03-20,14,13,3,1,0,0,0,0
2024-03-21,15,14,4,1,0,0,0,0
2024-03-22,21,19,5,2,1,1,0,0
2024-03-23,12,11,3,1,0,0,0,0
2024-03-24,16,15,4,1,0,0,0,0
2024-03-25,17,15,4,1,0,0,0,0
2024-03-26,12,11,3,1,0,0,0,0
2024-03-27,18,17,5,2,1,1,0,0
2024-03-28,21,19,5,2,1,1,0,0
2024-03-29,13,12,3,1,0,0,0,0
2024-03-30,9,8,2,1,0,0,0,0
2024-03-31,17,15,4,1,0,0,0,0
2024-04-01,20,19,5,2,1,1,0,0
2024-04-02,20,19,5,2,1,1,0,0
2024-04-03,17,15,4,1,0,0,0,0
2024-04-04,12,11,3,1,0,0,0,0
2024-04-05,21,20,5,2,1,1,0,0
2024-04-06,15,14,4,1,0,0,0,0
2024-04-07,9,8,2,1,0,0,0,0
2024-04-08,15,13,4,1,0,0,0,0
2024-04-09,11,10,3,1,0,0,0,0
2024-04-10,12,11,3,1,0,0,0,0
2024-04-11,11,10,3,1,0,0,0,0
2024-04-12,25,23,6,2,1,1,0,0
2024-04-13,15,13,4,1,0,0,0,0
2024-04-14,17,15,4,1,0,0,0,0
2024-04-15,15,13,4,1,0,0,0,0
2024-04-16,21,19,5,2,1,1,0,0
2024-04-17,17,16,4,1,0,0,0,0
2024-04-18,17,15,4,1,0,0,0,0
2024-04-19,21,19,5,2,1,1,0,0
2024-04-20,19,18,5,2,1,1,0,0
2024-04-21,9,8,2,1,0,0,0,0
2024-04-22,13,12,3,1,0,0,0,0
2024-04-23,18,17,5,2,1,1,0,0
2024-04-24,15,13,4,1,0,0,0,0
2024-04-25,19,18,5,2,1,1,0,0
2024-04-26,13,12,3,1,0,0,0,0
2024-04-27,18,17,5,2,1,1,0,0
2024-04-28,10,9,2,1,0,0,0,0
2024-04-29,21,19,5,2,1,1,0,0
2024-04-30,15,14,4,1,0,0,0,0
2024-05-01,21,20,5,2,1,1,0,0
2024-05-02,17,15,4,1,0,0,0,0
2024-05-03,15,14,4,1,0,0,0,0
2024-05-04,12,11,3,1,0,0,0,0
2024-05-05,11,10,3,1,0,0,0,0
2024-05-06,17,15,4,1,0,0,0,0
2024-05-07,11,10,3,1,0,0,0,0
2024-05-08,16,14,4,1,0,0,0,0
2024-05-09,13,12,3,1,0,0,0,0
2024-05-10,14,13,4,1,0,0,0,0
2024-05-11,13,12,3,1,0,0,0,0
2024-05-12,12,11,3,1,0,0,0,0
2024-05-13,12,11,3,1,0,0,0,0
2024-05-14,18,17,5,2,1,1,0,0
2024-05-15,19,18,5,2,1,1,0,0
2024-05-16,19,18,5,2,1,1,0,0
2024-05-17,23,21,6,2,1,1,0,0
2024-05-18,12,11,3,1,0,0,0,0
2024-05-19,18,16,4,1,0,0,0,0
2024-05-20,21,19,5,2,1,1,0,0
2024-05-21,18,17,5,2,1,1,0,0
2024-05-22,13,12,3,1,0,0,0,0
2024-05-23,11,10,3,1,0,0,0,0
2024-05-24,18,17,5,2,1,1,0,0
2024-05-25,13,12,3,1,0,0,0,0
2024-05-26,11,10,3,1,0,0,0,0
2024-05-27,12,11,3,1,0,0,0,0
2024-05-28,21,19,5,2,1,1,0,0
2024-05-29,19,18,5,2,1,1,0,0
2024-05-30,19,18,5,2,1,1,0,0
2024-05-31,17,15,4,1,0,0,0,0
2024-06-01,9,9,2,1,0,0,0,0
2024-06-02,12,11,3,1,0,0,0,0
2024-06-03,11,10,3,1,0,0,0,0
2024-06-04,18,17,5,2,1,1,0,0
2024-06-05,18,16,4,1,0,0,0,0
2024-06-06,20,19,5,2,1,1,0,0
2024-06-07,12,11,3,1,0,0,0,0
2024-06-08,17,16,4,1,0,0,0,0
2024-06-09,9,8,2,1,0,0,0,0
2024-06-10,14,12,3,1,0,0,0,0
2024-06-11,11,10,3,1,0,0,0,0
2024-06-12,24,22,6,2,1,1,0,0
2024-06-13,15,14,4,1,0,0,0,0
2024-06-14,12,11,3,1,0,0,0,0
2024-06-15,14,12,3,1,0,0,0,0
2024-06-16,9,9,2,1,0,0,0,0
2024-06-17,17,15,4,1,0,0,0,0
2024-06-18,20,19,5,2,1,1,0,0
2024-06-19,14,13,4,1,0,0,0,0
2024-06-20,11,10,3,1,0,0,0,0
2024-06-21,18,17,5,2,1,1,0,0
2024-06-22,14,12,3,1,0,0,0,0
2024-06-23,14,12,3,1,0,0,0,0
2024-06-24,21,19,5,2,1,1,0,0
2024-06-25,11,10,3,1,0,0,0,0
2024-06-26,24,22,6,2,1,1,0,0
2024-06-27,20,18,5,2,1,1,0,0
2024-06-28,19,17,5,2,1,1,0,0
2024-06-29,12,11,3,1,0,0,0,0
2024-06-30,18,17,5,2,1,1,0,0
2024-07-01,19,18,5,2,1,1,0,0
2024-07-02,11,10,3,1,0,0,0,0
2024-07-03,17,15,4,1,0,0,0,0
2024-07-04,19,17,5,2,1,1,0,0
2024-07-05,15,14,4,1,0,0,0,0
2024-07-06,15,14,4,1,0,0,0,0
2024-07-07,9,9,2,1,0,0,0,0
2024-07-08,15,14,4,1,0,0,0,0
2024-07-09,15,14,4,1,0,0,0,0
2024-07-10,21,19,5,2,1,1,0,0
2024-07-11,19,18,5,2,1,1,0,0
2024-07-12,15,14,4,1,0,0,0,0
2024-07-13,11,10,3,1,0,0,0,0
2024-07-14,8,7,2,0,0,0,0,0
2024-07-15,20,19,5,2,1,1,0,0
2024-07-16,15,14,4,1,0,0,0,0
2024-07-17,11,10,3,1,0,0,0,0
2024-07-18,15,13,4,1,0,0,0,0
2024-07-19,18,17,5,2,1,1,0,0
2024-07-20,17,15,4,1,0,0,0,0
2024-07-21,8,7,2,0,0,0,0,0
2024-07-22,17,16,4,1,0,0,0,0
2024-07-23,11,10,3,1,0,0,0,0
2024-07-24,14,12,3,1,0,0,0,0
2024-07-25,15,14,4,1,0,0,0,0
2024-07-26,11,10,3,1,0,0,0,0
2024-07-27,17,15,4,1,0,0,0,0
2024-07-28,13,12,3,1,0,0,0,0
2024-07-29,21,20,5,2,1,1,0,0
2024-07-30,19,18,5,2,1,1,0,0
2024-07-31,19,18,5,2,1,1,0,0
2024-08-01,22,20,6,2,1,1,0,0
2024-08-02,17,16,4,1,0,0,0,0
2024-08-03,11,10,3,1,0,0,0,0
2024-08-04,12,11,3,1,0,0,0,0
2024-08-05,14,13,4,1,0,0,0,0
2024-08-06,20,18,5,2,1,1,0,0
2024-08-07,19,18,5,2,1,1,0,0
2024-08-08,21,19,5,2,1,1,0,0
2024-08-09,18,17,5,2,1,1,0,0
2024-08-10,19,18,5,2,1,1,0,0
2024-08-11,18,17,5,2,1,1,0,0
2024-08-12,18,17,5,2,1,1,0,0
2024-08-13,13,12,3,1,0,0,0,0
2024-08-14,17,15,4,1,0,0,0,0
2024-08-15,11,10,3,1,0,0,0,0
2024-08-16,18,17,5,2,1,1,0,0
2024-08-17,12,11,3,1,0,0,0,0
2024-08-18,17,15,4,1,0,0,0,0
2024-08-19,25,23,6,2,1,1,0,0
2024-08-20,22,20,6,2,1,1,0,0
2024-08-21,14,12,3,1,0,0,0,0
2024-08-22,18,17,5,2,1,1,0,0
2024-08-23,19,18,5,2,1,1,0,0
2024-08-24,15,14,4,1,0,0,0,0
2024-08-25,17,15,4,1,0,0,0,0
2024-08-26,24,22,6,2,1,1,0,0
2024-08-27,17,16,4,1,0,0,0,0
2024-08-28,12,11,3,1,0,0,0,0
